business_id,name,categories,stars,postal_code
-1xuC540Nycht_iWFeJ-dw,Romados,"Restaurants, Portuguese, Bakeries, Food, Chicken Shop, Barbeque",4.5,H2W 1C8
-7bRnaHp7OHz8KW-THqP4w,Buffalo Bill Wings,"Restaurants, Chicken Wings",1.5,H4C 1G7
-92cC6-X87HQ1DE1UHOx3w,Junior,"Pan Asian, Restaurants, Asian Fusion, Filipino",3.5,H3J 1M8
-AgfhwHOYrsPKt-_xV_Ipg,Soupesoup,"Sandwiches, Restaurants, Cafes, Soup",4.0,H2W 1G8
-FDkvLmwaBrtVgYFqEWeWA,Café Juicy Lotus,"Vegetarian, Food, Salad, Restaurants, Organic Stores, Vegan",3.5,H4A 1C9
-HsqnPAz374YSoyFDyjl3A,Chalet Bar-B-Q,"Chicken Shop, Food, Restaurants, Barbeque",4.5,H4A 1V9
-JP761N6ad3aLsZXEjyYAA,Au Ciel,"Cafes, Breakfast & Brunch, Restaurants",4.5,H8S 2E1
-JVDTSgNMx2eqOCft3At-w,IKEA Restaurant,"Home Decor, Breakfast & Brunch, Local Services, Restaurants, Scandinavian, Shopping, Home & Garden, Cafes, Furniture Rental",3.0,H4T 1M8
-Levln3VcfeXS4iHt5ct9A,Nozy,"Japanese, Restaurants",4.5,H4C 1P4
-MwaICRwxaUi0JBfad2Y3Q,Noren,"Japanese, Restaurants",4.5,H2W 1G2
-Mz3M0g6iFZczs6a7ddf5g,Le Serpent,"Brasseries, Italian, French, Canadian (New), Restaurants",4.5,H3C 2N4
-OhQws_Si3YOYDfm6DilxA,Cafe Aunja,"Food, Cafes, Restaurants",4.0,H3G 1K4
-QdvlmQQppnoF-3iJtJ4lg,Pumpui,"Restaurants, Thai, Imported Food, Specialty Food, Food",4.5,H2S 1K7
-RC3XAvgvb-vwS3JtYPRHg,Hà,"Nightlife, Restaurants, Bars, Asian Fusion, Vietnamese, Laotian",4.0,H2T 2T2
-T0PYhlC2vrXoG2L7LjCGg,Labarake - Caserne à Manger,"Canadian (New), Restaurants, Brasseries, Salad",3.0,H1W 1A3
-VAsjhmAbKF3Pb_-8rh3xg,McDonald's,"Fast Food, Restaurants, Burgers",2.0,H2L 2E2
-WKylI3RHlvNo2IKt31ArQ,Barcola Bistro,"Restaurants, Italian",3.5,H2V 4H2
-WLV_MlPGVy4M98Xv0hzXA,Les Princesses,"Nightlife, Breakfast & Brunch, Restaurants, Adult Entertainment",2.5,H1V 1E8
-WfpxcNbp-kgrfOUG6xVvg,Picks,"Fast Food, Restaurants, Burgers",4.0,H3H 2G4
-YxR1MgbIe3k__YBdbLwXw,Thali Cuisine Indienne,"Vegetarian, Food, Restaurants, Indian",3.5,H3H 2G4
-ZHeHh4bwLlecbcAD7fTqw,Hof Kelsten,"Salad, Soup, Restaurants, Bakeries, Sandwiches, Cafes, Food",4.0,H2T 1N4
-aideO5JwBz_27cuBvEGRw,Casey's,"Restaurants, Bars, Nightlife, Canadian (New)",2.5,H4N 1J8
-dqK97OczNSfrfa71cuYmA,Piazza Del Sogno,"Pizza, Restaurants, Food, Italian, Coffee & Tea, Cafes",4.0,H3A 1N5
-eFqcwbHCmKOh8k1gTmA0A,Café Union,"Home & Garden, Shopping, Cafes, Coffee & Tea, Appliances, Food, Restaurants",4.0,H2R 2X1
-eIMvkaDAStpantj9KgKcg,Tim Hortons,"Restaurants, Food, Coffee & Tea, Delis, Sandwiches, Breakfast & Brunch",2.0,H3B 1B7
-euhSRPhCv-GlMASH2CmzA,O'Regans Irish Pub,"Nightlife, Restaurants, Irish, Pubs, Bars",4.5,H3G 2E3
-hHlfsgR_PInaij4U_S98Q,Le Showwok,"Soup, Asian Fusion, Restaurants",3.5,H3H 1M6
-iQdfdTpXa3Y-WC5OJGTfw,Saloon Bistro Bar,"Restaurants, Canadian (New), Bars, Nightlife, American (New), International",3.5,H2L 2H4
